auteur;opinion;commentaire;note;date
julien pessione;Hello fresh trop cher et pas de service client;Hello fresh est bien en soit des ingrédients frais et faire les recettes soit même est une bonne idéePar contre leur système d'abonnement est vraiment mal fait il ne s'arrête jamais si on ne trouve pas u' bouton cache sur l'application et après 30min sur le service client je n'ai pas réussis à joindre quelqu'un.Les prix sont vraiment élevés et les produits obligés d'êtres consomme dans la semaine car périmés très vite;3,5; 17 juillet 2023
Vanessa;Comment faisions-nous avant HelloFresh…;Comment faisions-nous avant HelloFresh ?De la commande des repas à la livraison, tout est simple. Terminée, la charge mentale des repas, des courses, etc. Il suffit d'ouvrir son frigo, de sortir le sac de la recette du jour et de suivre les instructions, pour obtenir un plat délicieux, savoureux, et dans les bonnes quantités. La box est livrée dans un créneau horaire court annoncé tôt le matin, ce qui permet de s'organiser. Chaque repas est conditionné dans son propre sac, ce qui rend l'organisation très facile. Les recettes sont faciles à suivre, on apprend de nouvelles techniques de cuisson et on découvre de nouvelles saveurs. Je ne me vois pas revenir en arrière !;2; 21 avril 2023
Karine Peslherbe;Hello fresh ce sont des aliments frais…;Hello fresh ce sont des aliments frais livrés avec lesquels on prépare facilement de bons petits plats pour un bon rapport qualité/prix.Plus besoin de faire les courses, de se demander qu est ce que je vais préparer comme repas, qu est ce qu il me faut pour faire ma recette, plus de gâchis, plus de conservateurs, d exhausteur de goût.... Hello fresh m a redonné goût à faire à manger au quotidien.;5; 07 juin 2023
Céline ;Recettes facile et variées;"Recettes facile, plus besoin de se prendre la tête pour les repas 🙈 Tout arrive très frais et les dates de consommation sont correctes. Il y a des recettes ""du monde"" c'est intéressant et ça permet de cuisiner différemment aussi. Seul bémol : pour certaines recettes il est demandé un supplément que je trouve un peu élevé par portion.";5; 29 janvier 2023
Marine;Belle surprise !;Je ne m'attendais pas à une si belle qualité des produits reçus, ils sont toujours d'une grande fraîcheur et savoureux ! Petit bémol, les recettes manquent pour moi d'oliagéneux. J'en rajoute parfois.;4; 25 juin 2023
De Lanoy Martine;Les recettes HelloFresh sont faciles et variées.;Les recettes HelloFresh sont faciles et le choix chaque semaine me convient que vous soyez végétarien, poisson ou viande. Les recettes sont faciles à faire. Je me suis remise à cuisiner avec plaisir. J'apprécie beaucoup d'avoir tous les ingrédients à disposition, plus de temps perdu avec les courses. Le prix de revient est appréciable car je réside à Paris où les bons produits sont chers. 💯👍;5; 10 juillet 2023
LAURENCE LEGER;Très bien globalement.;Livraison comme prévue. Recettes très bien expliquées. On a trouvé le temps de cuisson des crevettes un peu juste. Produits de qualité (sauf une pomme de terre qui commençait à pourrir 2 jours après réception - recette Hamburger). Ingrédients complets sauf 2 ails.Excellent à déguster.;4; 03 juillet 2023
Stephanie Verducci;Hello Fresh Coup de 💚;Hello ! 🍍 Je viens de finir ma première semaine et j'adore le Concept 😁 Toute la petite famille c'est régalé et pourtant, ils sont difficiles. Le gros plus c'est un gain de temps énorme pour moi et un plaisir de cuisiner et je peux faire pause a tout moment. Des fois le soir j'ai la flemme et mes plats sont redondant.C'est vraiment LA SOLUTION 😅Le petit (-) j'aurais aimé recevoir un lien vidéo pour l'élaboration de la recette au lieu de la fiche sinon #Jerecommande +++👍 Allez on continue 😌;4; 12 juillet 2023
MARYSE COELI;Enchantée de cette nouvelle experience;Enchantée de cette nouvelle experience.            Recettes facile à suivre.Découverte de saveurs inconnues.Surtout pas de courses à faire, tout  est dans le panier.  Plus de casse tete le matin! que vais-je faire pour midi?un grand MERCI a l'équipe qui cuisine.BRAVO;5; 11 juillet 2023
Melanie Lefebvre;Bonjour;Bonjour Commande non reçue, Aucuns mails, aucuns appels. Apparemment pb logistique! Entre les créneaux horaires non respectées, les colis mis dans la cour alors que c’est un circuit frais ça commence à faire beaucoup. Au tout début je n’avais aucuns soucis tout était top!;5; 12 juillet 2023
Caroline  Vallat;Hello Fresh, un service parfait!;Hello Fresh, c'est génial!!Cuisiner des produits frais, variés, bien dosés sans faire les courses, c'est l'idéal!Les recettes sont délicieuses, très réussies, bien proportionnées! C'est la fin du gaspillage alimentaire et de la routine à la maison, toujours avec les mêmes plats et pas forcément d'idées nouvelles!Merci Hello Fresh d'exister!😍;1; 06 juillet 2023
EloDy;ExctFini la corvée des courses je fais un…;Fini la corvée des courses je fais un drive pour les produits manquants ca c’est génial Ensuite les produits sont excellents et enfin les recettes sont claires et bien expliquées Pour qql un qui cuisine modestement c’est juste parfait;5; 07 juin 2023
Delphine LUCE;Le concept est très bien MAIS…;Le concept est très bien mais plusieurs petits soucis depuis ma souscription (pb livreur qui dépose le colis frais devant la porte +35°C, avocat non comestible...).Sinon, les recettes sont très sympas et facile à réaliser à domicile.;5; 07 juin 2023
Client David ;Excellent, mais quelque point a améliorer;J'adore, ingredient frais et plus besoin de réfléchir à ce que je vais cuisiner et ce qu'il me faut. Il faudrait penser a repreciser sur les fiches recettes si c'est de l oignon rouge ou jaune, depuis quelque temps ce n'est plus précisé. Si possible trouver une solution autre que chronofresh, régulièrement des soucis sur la livraison.;3; 31 octobre 2022
